ci_value,strategy,task_id,region,server_age,duration_s,total_carbon_g,timestamp
200.0,operational_only,31,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803259
200.0,operational_only,32,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803261
200.0,operational_only,33,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803262
200.0,operational_only,34,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803263
200.0,operational_only,35,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803264
200.0,operational_only,36,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803265
200.0,operational_only,37,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803265
200.0,operational_only,38,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803266
200.0,operational_only,39,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803267
200.0,operational_only,40,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803268
200.0,operational_only,41,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803269
200.0,operational_only,42,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803269
200.0,operational_only,43,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803270
200.0,operational_only,44,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803271
200.0,operational_only,45,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803272
200.0,operational_only,46,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803272
200.0,operational_only,47,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803273
200.0,operational_only,48,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803274
200.0,operational_only,49,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803275
200.0,operational_only,50,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803276
200.0,operational_only,51,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803277
200.0,operational_only,52,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803277
200.0,operational_only,53,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803278
200.0,operational_only,54,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803279
200.0,operational_only,55,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803280
200.0,operational_only,56,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803281
200.0,operational_only,57,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803281
200.0,operational_only,58,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803282
200.0,operational_only,59,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803283
200.0,operational_only,60,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803284
200.0,operational_only,61,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803284
200.0,operational_only,62,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803285
200.0,operational_only,63,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803286
200.0,operational_only,64,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803287
200.0,operational_only,65,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803288
200.0,operational_only,66,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803288
200.0,operational_only,67,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803289
200.0,operational_only,68,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803290
200.0,operational_only,69,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803291
200.0,operational_only,70,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803291
200.0,operational_only,71,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803292
200.0,operational_only,72,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803293
200.0,operational_only,73,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803294
200.0,operational_only,74,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803295
200.0,operational_only,75,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803295
200.0,operational_only,76,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803296
200.0,operational_only,77,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803297
200.0,operational_only,78,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803298
200.0,operational_only,79,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803299
200.0,operational_only,80,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803299
200.0,operational_only,81,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803300
200.0,operational_only,82,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803301
200.0,operational_only,83,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803302
200.0,operational_only,84,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803302
200.0,operational_only,85,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803303
200.0,operational_only,86,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803304
200.0,operational_only,87,Northern,new,14400.0,120.35344558521561,2025-11-09T22:09:36.803305
